inherit,inherit
current,currentColor
transparent,transparent
black,#333
white,#fff
light-50,#FFFFFF
light-100,#F9FAFC
light-200,#F0F4F5
light-300,#F0F4F8
light-400,#ECF0F5
light-500,#DEE4EB
light-600,#DCE0E6
light-700,#DCE1E3
light-800,#C2C7D0
light-900,#AAB1BE
primaryGray,#DCE1E3
primaryGrayHover,#C2C7D0
secondaryGray,#F0F4F5
secondaryGrayHover,#DCE1E3
thirdGray,#ECF0F5
thirdGrayHover,#DCE0E6
fourthGray,#F0F4F8
fourthGrayHover,#DEE4EB
fifthGray,#F9FAFC
fifthGrayHover,#F0F4F8
dark-50,#DBE0E8
dark-100,#CED2D8
dark-200,#AAB1BE
dark-300,#9AA0AA
dark-400,#7A8591
dark-500,#646C79
dark-600,#515764
dark-700,#454557
dark-800,#363A43
dark-900,#1D1D2C
primaryDark,#1D1D2C
primaryDarkHover,#454557
secondaryDark,#363A43
secondaryDarkHover,#515764
thirdDark,#646C79
thirdDarkHover,#7A8591
fourthDark,#9AA0AA
fourthDarkHover,#AAB1BE
fifthDark,#CED2D8
fifthDarkHover,#DBE0E8
red-100,#FF2F5F
red-200,#FF1155
red-300,#EB003B
red-400,#CC0033
red-500,#910C30
primaryRed,#EB003B
primaryRedHover,#CC0033
primaryRedDark,#FF2F5F
primaryRedDarkHover,#EB003B
secondaryRed,#910C30
secondaryRedHover,#CC0033
green-100,#28C613
green-200,#00B260
green-300,#14AA00
green-400,#008B4B
green-500,#008800
primaryGreen,#008800
primaryGreenHover,#14AA00
secondaryGreen,#00B260
secondaryGreenHover,#008B4B
thirdGreen,#28C613
thirdGreenHover,#14AA00
blue-100,#1C7BFF
blue-200,#007AFF
blue-300,#006FE6
blue-400,#005CBF
blue-500,#0E3E80
blue-DEFAULT,#007AFF
linkBlue,#007AFF
orange-100,#F09C48
orange-200,#FA7D00
orange-300,#ED7700
orange-400,#D46A00
orange-500,#6E3700
orange-DEFAULT,#ED7700
amber-100,#F09C16
amber-200,#D68A10
amber-300,#AD700E
amber-400,#866928
amber-500,#70490A
primaryOrange,#F09C16
primaryOrangeHover,#D68A10
brown,#AD700E
gold,#866928
sky-100,#20A9E8
sky-200,#1FA0DB
sky-300,#0B7FA2
sky-400,#16719C
sky-500,#0D435C
sky-DEFAULT,#1FA0DB
rose-100,#FF86A7
rose-200,#F24162
rose-300,#E63E5E
rose-400,#A62D43
rose-500,#661C29
cherry,#E63E5E
purple-100,#702EFF
purple-200,#5F27D9
purple-300,#5422BF
purple-400,#431C99
purple-500,#271059
purple-DEFAULT,#5F27D9
cyan-100,#02E8C6
cyan-200,#01C1A3
cyan-300,#02A88F
cyan-400,#01826F
cyan-500,#014238
cyan-DEFAULT,#01C1A3