box-sizing,border-box,box-border
box-sizing,content-box,box-content
box-sizing,inherit,box-inherit
display,none,hidden
display,block,block
display,inline-block,inline-block
display,inline,inline
display,flex,flex
display,inline-flex,inline-flex
display,grid,grid
display,table,table
display,table-caption,table-caption
display,table-cell,table-cell
display,table-column,table-column
display,table-column-group,table-column-group
display,table-footer-group,table-footer-group
display,table-header-group,table-header-group
display,table-row-group,table-row-group
display,table-row,table-row
float,right,float-right
float,left,float-left
float,none,float-none
clear,left,clear-left
clear,right,clear-right
clear,both,clear-both
clear,none,clear-none
object-fit,contain,object-contain
object-fit,cover,object-cover
object-fit,fill,object-fill
object-fit,none,object-none
object-fit,scale-down,object-scale-down
object-position,bottom,object-bottom
object-position,center,object-center
object-position,left,object-left
object-position,leftbottom,object-left-bottom
object-position,lefttop,object-left-top
object-position,right,object-right
object-position,rightbottom,object-right-bottom
object-position,righttop,object-right-top
object-position,top,object-top
overflow,auto,overflow-auto
overflow,hidden,overflow-hidden
overflow,visible,overflow-visible
overflow,scroll,overflow-scroll
overflow-x,auto,overflow-x-auto
overflow-x,hidden,overflow-x-hidden
overflow-x,visible,overflow-x-visible
overflow-x,scroll,overflow-x-scroll
overflow-y,auto,overflow-y-auto
overflow-y,hidden,overflow-y-hidden
overflow-y,visible,overflow-y-visible
overflow-y,scroll,overflow-y-scroll
-webkit-overflow-scrolling,touch,scrolling-touch
-webkit-overflow-scrolling,auto,scrolling-auto
position,static,static
position,fixed,fixed
position,absolute,absolute
position,relative,relative
position,sticky,sticky
top,0,top-0
top,auto,top-auto
right,0,right-0
right,auto,right-auto
bottom,0,bottom-0
bottom,auto,bottom-auto
left,0,left-0
left,auto,left-auto
visibility,visible,visible
visibility,hidden,invisible
flex-direction,row,flex-row
flex-direction,row-reverse,flex-row-reverse
flex-direction,column,flex-col
flex-direction,column-reverse,flex-col-reverse
flex-wrap,nowrap,flex-no-wrap
flex-wrap,wrap,flex-wrap
flex-wrap,wrap-reverse,flex-wrap-reverse
align-items,stretch,items-stretch
align-items,flex-start,items-start
align-items,center,items-center
align-items,flex-end,items-end
align-items,baseline,items-baseline
align-content,flex-start,content-start
align-content,center,content-center
align-content,flex-end,content-end
align-content,space-between,content-between
align-content,space-around,content-around
align-self,auto,self-auto
align-self,flex-start,self-start
align-self,center,self-center
align-self,flex-end,self-end
align-self,stretch,self-stretch
justify-content,flex-start,justify-start
justify-content,center,justify-center
justify-content,flex-end,justify-end
justify-content,space-between,justify-between
justify-content,space-around,justify-around
flex,01auto,flex-initial
flex,110%,flex-1
flex,11auto,flex-auto
flex,none,flex-none
flex-grow,0,flex-grow-0
flex-grow,1,flex-grow
flex-shrink,0,flex-shrink-0
flex-shrink,1,flex-shrink
grid-auto-flow,row,grid-flow-row
grid-auto-flow,column,grid-flow-col
grid-auto-flow,rowdense,grid-flow-row-dense
grid-auto-flow,columndense,grid-flow-col-dense
width,0,w-0
width,auto,w-auto
width,100%,w-full
width,100vw,w-screen
min-width,0,min-w-0
min-width,100%,min-w-full
max-width,none,max-w-none
max-width,100%,max-w-full
max-width,100vh,max-w-screen
height,0,h-0
height,auto,h-auto
height,100%,h-full
height,100vh,h-screen
min-height,0,min-h-0
min-height,100%,min-h-full
min-height,100vh,min-h-screen
max-height,100%,max-h-full
max-height,100vh,max-h-screen
font-style,italic,italic
font-style,normal,not-italic
font-weight,100,font-hairline
font-weight,200,font-thin
font-weight,300,font-light
font-weight,400,font-normal
font-weight,500,font-medium
font-weight,600,font-semibold
font-weight,700,font-bold
font-weight,800,font-extrabold
font-weight,900,font-black
letter-spacing,0,tracking-normal
letter-spacing,-0.05em,tracking-tighter
letter-spacing,-0.025em,tracking-tight
letter-spacing,0.025em,tracking-wide
letter-spacing,0.05em,tracking-wider
letter-spacing,0.1em,tracking-widest
line-height,1,leading-none
line-height,2,leading-loose
line-height,1.25,leading-tight
line-height,1.375,leading-snug
line-height,1.5,leading-normal
line-height,1.625,leading-relaxed
list-style,none,list-none
list-style,disc,list-disc
list-style,decimal,list-decimal
list-style-type,none,list-none
list-style-type,disc,list-disc
list-style-type,decimal,list-decimal
list-style-type,lower-latin,list-latin
list-style-type,upper-latin,list-upper-latin
list-style-position,inside,list-inside
list-style-position,outside,list-outside
text-align,left,text-left
text-align,center,text-center
text-align,right,text-right
text-align,justify,text-justify
text-decoration,underline,underline
text-decoration,line-through,line-through
text-decoration,none,no-underline
text-transform,uppercase,uppercase
text-transform,lowercase,lowercase
text-transform,capitalize,capitalize
text-transform,none,normal-case
vertical-align,baseline,align-baseline
vertical-align,top,align-top
vertical-align,middle,align-middle
vertical-align,bottom,align-bottom
vertical-align,text-top,align-text-top
vertical-align,text-bottom,align-text-bottom
white-space,normal,whitespace-normal
white-space,nowrap,whitespace-no-wrap
white-space,pre,whitespace-pre
white-space,pre-line,whitespace-pre-line
white-space,pre-wrap,whitespace-pre-wrap
word-break,normal,break-normal
word-break,break-all,break-all
overflow-wrap,break-word,break-words
background-attachment,fixed,bg-fixed
background-attachment,local,bg-local
background-attachment,scroll,bg-scroll
background-position,bottom,bg-bottom
background-position,center,bg-center
background-position,left,bg-left
background-position,leftbottom,bg-left-bottom
background-position,lefttop,bg-left-top
background-position,right,bg-right
background-position,rightbottom,bg-right-bottom
background-position,righttop,bg-right-top
background-position,top,bg-top
background-repeat,repeat,bg-repeat
background-repeat,no-repeat,bg-no-repeat
background-repeat,repeat-x,bg-repeat-x
background-repeat,repeat-y,bg-repeat-y
background-repeat,round,bg-repeat-round
background-repeat,space,bg-repeat-space
background-size,auto,bg-auto
background-size,cover,bg-cover
background-size,contain,bg-contain
border-radius,0,rounded-none
border-radius,unset,rounded-none
border-radius,none,rounded-none
border-radius,0.125rem,rounded-sm
border-radius,0.25rem,rounded
border-radius,0.375rem,rounded-md
border-radius,0.5rem,rounded-lg
border-radius,9999px,rounded-full
border-radius,6px,rounded
border-radius,50%,rounded-bl-full
border-top-left-radius,0,rounded-tl-none
border-top-left-radius,unset,rounded-tl-none
border-top-left-radius,none,rounded-tl-none
border-top-left-radius,0.125rem,rounded-tl-sm
border-top-left-radius,0.25rem,rounded-tl
border-top-left-radius,0.375rem,rounded-tl-md
border-top-left-radius,0.5rem,rounded-tl-lg
border-top-left-radius,9999px,rounded-tl-full
border-top-left-radius,6px,rounded
border-top-left-radius,50%,rounded-tl-full
border-top-right-radius,0,rounded-tr-none
border-top-right-radius,unset,rounded-tr-none
border-top-right-radius,none,rounded-tr-none
border-top-right-radius,0.125rem,rounded-tr-sm
border-top-right-radius,0.25rem,rounded-tr
border-top-right-radius,0.375rem,rounded-tr-md
border-top-right-radius,0.5rem,rounded-tr-lg
border-top-right-radius,9999px,rounded-tr-full
border-top-right-radius,6px,rounded
border-top-right-radius,50%,rounded-tr-full
border-bottom-right-radius,0,rounded-br-none
border-bottom-right-radius,unset,rounded-br-none
border-bottom-right-radius,none,rounded-br-none
border-bottom-right-radius,0.125rem,rounded-br-sm
border-bottom-right-radius,0.25rem,rounded-br
border-bottom-right-radius,0.375rem,rounded-br-md
border-bottom-right-radius,0.5rem,rounded-br-lg
border-bottom-right-radius,9999px,rounded-br-full
border-bottom-right-radius,6px,rounded
border-bottom-right-radius,50%,rounded-br-full
border-bottom-left-radius,0,rounded-bl-none
border-bottom-left-radius,unset,rounded-bl-none
border-bottom-left-radius,none,rounded-bl-none
border-bottom-left-radius,0.125rem,rounded-bl-sm
border-bottom-left-radius,0.25rem,rounded-bl
border-bottom-left-radius,0.375rem,rounded-bl-md
border-bottom-left-radius,0.5rem,rounded-bl-lg
border-bottom-left-radius,9999px,rounded-bl-full
border-bottom-left-radius,6px,rounded
border-bottom-left-radius,50%,rounded-bl-full
box-shadow,"0001pxrgba(0,0,0,0.05)",shadow-xs
box-shadow,"01px2px0rgba(0,0,0,0.05)",shadow-sm
box-shadow,"01px3px0rgba(0,0,0,0.1),01px2px0rgba(0,0,0,0.06)",shadow
box-shadow,"04px6px-1pxrgba(0,0,0,0.1),02px4px-1pxrgba(0,0,0,0.06)",shadow-md
box-shadow,"010px15px-3pxrgba(0,0,0,0.1),04px6px-2pxrgba(0,0,0,0.05)",shadow-lg
box-shadow,"020px25px-5pxrgba(0,0,0,0.1),010px10px-5pxrgba(0,0,0,0.04)",shadow-xl
box-shadow,"025px50px-12pxrgba(0,0,0,0.25)",shadow-2xl
box-shadow,"inset02px4px0rgba(0,0,0,0.06)",shadow-inner
box-shadow,"0003pxrgba(66,153,225,0.5)",shadow-outline
box-shadow,none,shadow-none
opacity,0,opacity-0
opacity,1,opacity-100
opacity,5,opacity-50
opacity,25,opacity-25
opacity,75,opacity-75
transition-property,none,transition-none
transition-property,all,transition-all
transition-property,"background-color,border-color,color,fill,stroke,opacity,box-shadow,transform",transition
transition-property,"background-color,border-color,color,fill,stroke",transition-colors
transition-property,opacity,transition-opacity
transition-property,box-shadow,transition-shadow
transition-property,transform,transition-transform
transition-duration,75ms,duration-75
transition-duration,100ms,duration-100
transition-duration,150ms,duration-150
transition-duration,200ms,duration-200
transition-duration,300ms,duration-300
transition-duration,500ms,duration-500
transition-duration,700ms,duration-700
transition-duration,1000ms,duration-1000
transition-timing-function,linear,ease-linear
transition-timing-function,"cubic-bezier(0.4,0,1,1)",ease-in
transition-timing-function,"cubic-bezier(0,0,0.2,1)",ease-out
transition-timing-function,"cubic-bezier(0.4,0,0.2,1)",ease-in-out
transform-origin,center,origin-center
transform-origin,top,origin-top
transform-origin,topright,origin-top-right
transform-origin,right,origin-right
transform-origin,bottomright,origin-bottom-right
transform-origin,bottom,origin-bottom
transform-origin,bottomleft,origin-bottom-left
transform-origin,left,origin-left
transform-origin,topleft,origin-top-left
appearance,none,appearance-none
cursor,auto,cursor-auto
cursor,default,cursor-default
cursor,pointer,cursor-pointer
cursor,wait,cursor-wait
cursor,text,cursor-text
cursor,move,cursor-move
cursor,not-allowed,cursor-not-allowed
outline,0,outline-none
pointer-events,none,pointer-events-none
pointer-events,auto,pointer-events-auto
resize,none,resize-none
resize,both,resize
resize,vertical,resize-y
resize,horizontal,resize-x
user-select,none,select-none
user-select,text,select-text
user-select,all,select-all
user-select,auto,select-auto
fill,currentColor,fill-current
stroke,currentColor,stroke-current
stroke-width,0,stroke-0
stroke-width,1,stroke-1
stroke-width,2,stroke-2