text-h1,2.875rem,4rem
text-h2,2.5rem,3.5rem
text-h3,2.125rem,3rem
text-h4,1.875rem,2.625rem
text-h5,1.75rem,2.5rem
text-title,1.375rem,1.875rem
text-subtitle,1.125rem,1.5rem
text-body-text,1rem,1.125rem
text-ui-text,0.875rem,1.25rem
text-label,0.75rem,1rem
text-xs,0.75rem,1rem
text-sm,0.875rem,1.25rem
text-base,1rem,1.5rem
text-lg,1.125rem,1.75rem
text-xl,1.25rem,1.75rem
text-2xl,1.5rem,2rem
text-3xl,1.875rem,2.25rem
text-4xl,2.25rem,2.5rem
text-5xl,3rem,1
text-6xl,3.75rem,1
text-7xl,4.5rem,1
text-8xl,6rem,1
text-9xl,8rem,1